INDEX,MAHDOUDE_NAME,MAHDOUDE_CODE,AQUIFER_NAME,LOCATION_NAME,X,Y,ZONEUTM,X_,Y_,MIN_YEAR,MAX_YEAR,LEVEL_MSL,LEVEL_SRTM
101,داورزن,4734,داورزن,غرب صدخرو جاده تهران,499749,4020108,40,56.99720351,36.32600366,1363,1395,973,973
102,داورزن,4734,داورزن,کاهک_ داورزن,485676,4023381,40,56.84035046,36.35540454,1363,1395,882,882
103,داورزن,4734,داورزن,مقیسه _ بروغن,506941,4001938,40,57.07717131,36.16216581,1352,1395,838,838
104,داورزن,4734,داورزن,مهر,513115,4015685,40,57.14604505,36.28603903,1363,1395,999,999
105,داورزن,4734,داورزن,نیمه عمیق متروکه مزینان,485877,4012617,40,56.84278564,36.25836524,1363,1395,812,812
106,سرخس,6004,سرخس,s.6,335000,4010000,41,61.16422731,36.22079023,1361,1375,364,364
107,سرخس,6004,سرخس,اراضی حسن آباد جر -wa,325084,4045190,41,61.04604082,36.53611398,1361,1393,276,276
108,سرخس,6004,سرخس,اراضی حسن آباد جر -wb,324655,4045424,41,61.04119786,36.53814369,1361,1396,272,272
109,سرخس,6004,سرخس,اول کچولی,328501,4036848,41,61.08604346,36.46157057,1361,1396,290,290
110,سرخس,6004,سرخس,ایستگاه کنترل گاز,328548,4022853,41,61.08965746,36.3354797,1377,1396,347,347
111,سرخس,6004,سرخس,بابا لقمان,335901,4049057,41,61.16599454,36.57287583,1376,1396,269,269
112,سرخس,6004,سرخس,بعد از آصف- چاه شماره 5,333898,4033275,41,61.14701192,36.43032646,1366,1396,293,293
113,سرخس,6004,سرخس,بعد از قوش سربزی عیسی مختاری,329550,4029350,41,61.09939271,36.39419833,1383,1396,303,303
114,سرخس,6004,سرخس,بلوار امام رضا (ع),336223,4045565,41,61.17033385,36.5414665,1383,1396,274,274
115,سرخس,6004,سرخس,بین تام مختار و کندکلی,327184,4049761,41,61.0684623,36.57768053,1383,1396,268,268
116,سرخس,6004,سرخس,بین کچولی و قوش عظیم,331170,4034220,41,61.11638804,36.43836517,1383,1396,291,291
117,سرخس,6004,سرخس,پشت پاسگاه سه گوش,334472,4051364,41,61.149535,36.59341598,1383,1396,267,267
118,سرخس,6004,سرخس,پشت فرودگاه قدیم - 7,332848,4042633,41,61.13328244,36.5144638,1366,1393,279,279
119,سرخس,6004,سرخس,پشت گازرسانی,333621,4045802,41,61.1412277,36.54315249,1383,1396,277,277
120,سرخس,6004,سرخس,تام رسول,323711,4049942,41,61.02962424,36.57867612,1377,1396,264,264
121,سرخس,6004,سرخس,جاده شیلات چاه شماره 9,332705,4054228,41,61.12916758,36.61891295,1366,1396,263,263
122,سرخس,6004,سرخس,چاه آب شرب,334636,4044798,41,61.15277712,36.5342822,1387,1396,278,278
123,سرخس,6004,سرخس,حاجی جهند,337938,4004477,41,61.19804162,36.17151845,1361,1396,278,278
124,سرخس,6004,سرخس,دامپروری (2),328220,4040808,41,61.0820296,36.49720048,1361,1396,284,284
125,سرخس,6004,سرخس,راه جنگل چاه شماره 10,328441,4052639,41,61.0818626,36.60383806,1366,1396,263,263
126,سرخس,6004,سرخس,روستای یاس تپه چاه شماره 13,323337,4053146,41,61.02471043,36.60747398,1367,1396,264,264
127,سرخس,6004,سرخس,شماره 1 جاده دولت آباد به صمد,329244,4019211,41,61.0982062,36.30278721,1383,1396,331,331
128,سرخس,6004,سرخس,شماره 2 جاده دولت آباد به صمد,330258,4013785,41,61.11067304,36.25407475,1383,1396,407,407
129,سرخس,6004,سرخس,شیر تپه,335783,3996833,41,61.17568688,36.10227424,1361,1396,366,366
130,سرخس,6004,سرخس,صمد آباد,333499,4007943,41,61.14797214,36.20199748,1377,1396,356,356
131,سرخس,6004,سرخس,قبرستان تپه میراحمد,332695,4049486,41,61.13008748,36.57618471,1377,1396,274,274
132,سرخس,6004,سرخس,قبرستان عباس آباد,329921,4046354,41,61.09979019,36.54747473,1377,1396,276,276
133,سرخس,6004,سرخس,قبل از قوش سربزی شماره 4,332993,4029122,41,61.13781449,36.39274857,1366,1396,303,303
134,سرخس,6004,سرخس,قبل از نوروزآباد- اس 9,334051,4018988,41,61.15176606,36.30161734,1361,1393,321,321
135,سرخس,6004,سرخس,قلعه نو چاه شماره 6,334780,4037480,41,61.15594978,36.46836826,1366,1396,287,287
136,سرخس,6004,سرخس,قوش چاکر,328450,4046773,41,61.08327046,36.55098696,1377,1396,276,276
137,سرخس,6004,سرخس,قوش خزائی,331425,4039673,41,61.11804419,36.48754358,1383,1396,281,281
138,سرخس,6004,سرخس,قوش سربزی,331123,4025930,41,61.11766689,36.36366022,1361,1396,309,309
139,سرخس,6004,سرخس,کلاته مره ای -اس 7,336402,4013004,41,61.17919094,36.2480976,1361,1396,333,333
140,سرخس,6004,سرخس,مسیر خط انتقال آب,330068,4049159,41,61.10081304,36.57277431,1383,1396,265,265
141,سرخس,6004,سرخس,معدن شن و ماسه -3,330704,4036539,41,61.1106847,36.45917805,1366,1396,286,286
142,سرخس,6004,سرخس,مقابل منطقه ویژه اقتصادی,324670,4034760,41,61.0437838,36.44206456,1383,1396,315,315
